ID,Country of Origin,Farm Name,Mill,Company,Altitude,Region,Producer,In-Country Partner,Harvest Year,Owner,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Certification Body
28,Taiwan,Tafuyayoujinongyuan,Tafuyayoujinongyuan,Taiwan Coffee Laboratory,1060,Chiayi,Chenqinglong,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,7.92,0.0,85.5,10.2,0,0,blue-green,0,Taiwan Coffee Laboratory
29,United States (Hawaii),Hokukano Ranch,Kona Coffee & Tea,Taiwan Coffee Laboratory,600,Kona,Kona Hills Llc,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,8.0,0.0,85.42,9.3,0,0,green,0,Taiwan Coffee Laboratory
30,Taiwan,Siang-Ting Organic Farm,Siang-Ting Organic Farm,Taiwan Coffee Laboratory,250,Shoufeng Township,Zhang Jin-Yi,Taiwan Coffee Laboratory,2022,Zhang Jin Yi,Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,8.08,0.0,85.42,11.4,0,0,bluish-green,0,Taiwan Coffee Laboratory
31,Taiwan,Siang-Ting Organic Farm,Siang-Ting Organic Farm,Taiwan Coffee Laboratory,250,Shoufeng Township,Zhang Jin-Yi,Taiwan Coffee Laboratory,2022,Zhang Jin Yi,Typica,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,8.0,0.0,85.33,10.8,0,0,green,0,Taiwan Coffee Laboratory
32,Taiwan,Jinzan Coffee Estate,Jinzan Coffee Estate,Taiwan Coffee Laboratory,668,Tainan City,"Ye,Ming-Zan",Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,8.0,0.0,85.33,11.3,0,0,green,0,Taiwan Coffee Laboratory
33,Ethiopia,Eshetu Farm,Lata Agri Export,Alo Coffee,1950,Oromia,Eshetu,Metad Agricultural Development Plc,2022,Tamiru Tadesse Tesema,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,8.0,0.0,85.33,9.9,0,2,green,3,Metad Agricultural Development Plc
34,Ethiopia,Uraga Bisrat Washing Station,Dry Mill,Tadesse Desta Import & Export,2350,Southern Ethiopia Guji,Bisrat Melaku,Metad Agricultural Development Plc,2022,Tadessa Desta Amene,Ethiopian Heirlooms,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,7.83,0.0,85.33,12.3,0,3,yellow-green,4,Metad Agricultural Development Plc
35,Ethiopia,Yhaenu Plc Farm,Guji Coffee Export P.L.C,Yhaenu Plc,1700,Oromia,Yhaenu Plc,Metad Agricultural Development Plc,2022,Yhaenu Plc,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,7.83,0.0,85.25,9.4,0,1,greenish,1,Metad Agricultural Development Plc
36,Taiwan,Zhuowushankafeinongchang,Zhuowushankafeinongchang,Taiwan Coffee Laboratory,1200,Chiayi,Xudingye,Taiwan Coffee Laboratory,2022,Hsu Ting Yey,Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,7.92,0.0,85.25,9.5,0,0,bluish-green,0,Taiwan Coffee Laboratory
37,Taiwan,Yu Siang Coffee Estate,Yu Siang Coffee Estate,Taiwan Coffee Laboratory,650,Tainan City,"Chen, Jian-Yuan",Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Gesha,Pulped Natural / Honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,85.25,11.3,0,0,green,0,Taiwan Coffee Laboratory
38,Kenya,Small Holder,Nkg,Ibero K Ltd,1900,Central,Small Holder,Kenya Coffee Traders Association,2023,Judith Murimi,Sl28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,8.0,0.0,85.25,9.2,0,0,greenish,1,Kenya Coffee Traders Association
39,Taiwan,Huangtingkafeizhuangyuan,Yes,Chenyiguojiyouxiangongsi,850,Gukeng Township,Chenrongfeng,Blossom Valley International,2018,Chen Rong Feng,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,8.0,0.0,85.17,10.3,0,0,bluish-green,0,Blossom Valley International
40,Taiwan,（）Agriculture Production And Marketing Groups Of Hualien Shlin Township Special Crop Coffee 1St Class,（）Agriculture Production And Marketing Groups Of Hualien Shlin Township Special Crop Coffee 1St Class,Taiwan Coffee Laboratory,500,Show Linxia Township,Li Zhi-Xia,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Typica,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.92,0.0,85.08,10.0,0,0,brownish,0,Taiwan Coffee Laboratory
41,Taiwan,Bayigaodi,Qianzaoji、Tuokeji,Maotaishengjigufenyouxiangongsi,1000,Taiwanpingdong,Chenkehan,Taiwan Coffee Laboratory,2022,Ethan Lee,Typica,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.08,10.5,0,0,greenish,0,Taiwan Coffee Laboratory
42,Taiwan,Xiangjialanzhuangyuan,Xiangjialanzhuangyuan,Taiwu Coffee Cooperative,800,Miaolixian,Huangjianqiulan,Taiwan Coffee Laboratory,2022,Taiwu,Gesha,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,7.92,0.0,85.08,10.0,0,0,pale-yellow,5,Taiwan Coffee Laboratory
43,Uganda,Gideon Kule,Dry Mill,Kyagalanyi Coffee Limited,1905,Rwenzori,Kyagalanyi Coffee Limited,Uganda Coffee Development Authority,2022,Kyagalanyi Coffee Limited,Sl14,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,7.92,0.0,85.0,11.0,0,0,green,1,Uganda Coffee Development Authority
44,Taiwan,Igfarm,Igfarm,Taiwan Coffee Laboratory,150,Shoufeng Township,Liu Meng Tsung,Taiwan Coffee Laboratory,2022,Liu Meng Tsung,Typica,Unknown,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.9,0,0,green,0,Taiwan Coffee Laboratory
45,Taiwan,Qingshanpingkafeinongchang,Qingshanpingkafeinongchang,Taiwan Coffee Laboratory,800,Yunlin,Wangqinglian,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.83,0.0,85.0,10.1,0,0,yellow-green,0,Taiwan Coffee Laboratory
46,Guatemala,Varias Fincas,Beneficio Pastores,"Peter Schoenfeld, S.A.",1600,Antigua,Varios Productores,Asociacion Nacional Del Café,2023,Yesica Alejandra Martìnez Vàsquez,Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,7.83,0.0,85.0,9.9,0,1,green,1,Asociacion Nacional Del Café
47,Guatemala,Peña Blanca,Beneficio Las Americas,"Olam Agro Guatemala, S.A.",4700,Santa Rosa,Pablo Chuy,Asociacion Nacional Del Café,2023,Yesica Alejandra Martìnez Vàsquez,Catuai,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,7.83,0.0,85.0,11.3,0,0,green,4,Asociacion Nacional Del Café
48,Guatemala,San Francisco Cotzal,"Inmobiliaria E Inversiones Dos Mil, S.A.","Inmobiliaria E Inversiones Dos Mil, S.A.",1600,Quiche,San Francisco Cotzal,Asociacion Nacional Del Café,2022,Angelica Paola Citan Lopez,Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.92,11.7,0,3,green,1,Asociacion Nacional Del Café
49,Taiwan,Liuquwo,Liuquwo,Taiwu Coffee Cooperative,400,Xinzhuxian,Huangjungan,Taiwan Coffee Laboratory,2022,Taiwu,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.92,9.5,0,0,green,2,Taiwan Coffee Laboratory
50,Taiwan,Beipingshanlin,Beipingshanlin,Taiwu Coffee Cooperative,230,Xinzhuxian,Daizhennan,Taiwan Coffee Laboratory,2022,Taiwu,Yellow Bourbon,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.92,0.0,84.83,9.7,0,0,brownish,0,Taiwan Coffee Laboratory
51,Indonesia,Pt Indo Cafco North Sumatera,Pt Indo Cafco,Interamerican Coffee,1200,Aceh Tengah,Pt Indo Cafco North Sumatera,Nkg Quality Service A Division Of Bernhard Rothfos Intercafé Ag,2022,Charles Umeano,Catimor,Unknown,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.83,11.9,0,3,bluish-green,2,Nkg Quality Service A Division Of Bernhard Rothfos Intercafé Ag
52,Peru,Ruya Yayu Farm,No.,Taiwan Coffee Laboratory,1750,Villa Rica,Ruya Yayu,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Gesha,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.75,0.0,84.83,10.7,0,0,greenish,0,Taiwan Coffee Laboratory
53,United Republic Of Tanzania,Iyenga,City Coffee Ltd,Volcafe/Taylorwinch Tanzania Ltd,1654,Mbeya,Iyenga Amcos,Kenya Coffee Traders Association,2023,Balam Hinyula,Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.83,11.2,0,0,greenish,0,Kenya Coffee Traders Association
54,Taiwan,Youyoubasimafeikafeizhuangyuan,Youyoubasimafeikafeizhuangyuan,Taiwan Coffee Laboratory,1300,Chiayi,Zhengyuping,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Sl34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,8.0,0.0,84.83,9.5,0,0,greenish,0,Taiwan Coffee Laboratory
55,Taiwan,Senyuegaofengkafeizhuangyuan,Senyuegaofengkafeizhuangyuan,Taiwan Coffee Laboratory,1400,Nantou,Wuzhenhong,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Sl34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,7.83,0.0,84.75,10.4,0,0,green,0,Taiwan Coffee Laboratory
56,Brazil,Fazenda Guariroba,Wet-Hulling,Mirai Seeds Corp.,1100,Campo Das Vertentes,Homero Paiva,Japan Coffee Exchange,2022,Marcelo Itoh,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,7.83,0.0,84.75,11.2,0,1,green,5,Japan Coffee Exchange
